
Mes: February | Año: 2024
+----------------------+----------+-------+
|         Item         | Cantidad | Total |
|  COLIFLOR CONGELADA  |    1     | 2.05  |
|  GALLETITAS SALADAS  |    1     |  1.3  |
|   GEL FRESCOR AZUL   |    1     | 0.75  |
|      GUACAMOLE       |    1     | 3.59  |
|        NACHOS        |    1     |  0.9  |
|         TOA          |    1     |  3.0  |
|      TROPICAL S      |    2     |  1.4  |
|        TOTAL         |          | 20.79 |
|     BEBER FRESA      |    1     | 1.45  |
|        FRESÓN        |    1     | 3.86  |
| GALLETAS MANTEQUILLA |    1     | 2.85  |
|    HUEVOS GRANDES    |   112    |  2.2  |
|  HUEVOS SUPER GRAN   |   112    | 3.25  |
|        NACHOS        |    1     |  0.9  |
| QUESO BLANCO NATURAL |    1     | 2.74  |
|      TROPICAL S      |    2     |  1.4  |
|        TOTAL         |          | 18.65 |
|    BOLSA PLASTICO    |    1     | 0.15  |
| CACAHUETE DESGRASADO |    1     | 2.75  |
| JAMON JUGOSO LONCHAS |    1     | 1.82  |
|        NACHOS        |    1     |  0.9  |
| PAN BLANCO FAMILIAR  |    1     | 1.25  |
|   PECHUGA FAMILIAR   |    1     | 7.11  |
|   SALSA FINA KRAFT   |    1     |  2.0  |
|      TROPICAL S      |    2     |  1.4  |
|        TOTAL         |          | 17.38 |
|      LECHE DESN      |    1     |  7.5  |
|        TOTAL         |          |  7.5  |
|    BOLSA PLASTICO    |    1     | 0.15  |
|      GUACAMOLE       |    1     | 3.59  |
| JAMÓN SERRANO SOBRE  |    1     |  4.1  |
|     PAN DE LECHE     |    1     |  1.6  |
| QUESO RALLADO PIZZA  |    1     | 1.54  |
| TOMATE NATURAL RALLA |    1     | 1.39  |
|      TROPICAL S      |    2     |  1.4  |
|        TOTAL         |          | 13.77 |
|      BRONCHALES      |    2     | 2.52  |
| SALSA DE SOJA SALADA |    1     |  1.4  |
|        TOTAL         |          | 3.92  |
|   ARROZ VAPORIZADO   |    1     | 1.54  |
|  COMPRIMIDOS DORMIR  |    1     | 3.95  |
| COMPRIMIDOS VITAMINA |    1     |  3.0  |
|   CÁPSULAS MEMORY    |    1     | 3.95  |
|   MERMELADA FRESA    |    1     | 1.55  |
|        TOTAL         |          | 13.99 |
|    BOLSA PLASTICO    |    1     | 0.15  |
| GALLETAS MANTEQUILLA |    1     | 2.85  |
|        NACHOS        |    1     |  0.9  |
|      TROPICAL S      |    2     |  1.4  |
|        TOTAL         |          |  5.30  |
+----------------------+----------+-------+
